Empresa,Competencia,Razón,Métrica Clave,Plataforma con Dominio Competidor,Insight de Oportunidad
Good Molecules,CeraVe,Skincare accesible,CeraVe tiene mayor alcance en IG (1M+) y YT.,Instagram / YouTube,GM debe enfocar su crecimiento en YouTube para profundidad.
Good Molecules,The Inkey List,Transparencia,The Inkey List tiene mayor engagement y actividad.,TikTok,Mejorar la estrategia de engagement en TikTok.
Good Molecules,Acure,Skincare clean,"Escala y engagement similar en TikTok, GM mayor en IG.",Instagram,Oportunidad clara en campañas de *creators*.
Mad Hippie,Pacifica,Clean beauty natural,Pacifica es más fuerte en TikTok.,TikTok,MH necesita mejorar contenido UGC y viralidad.
Mad Hippie,Herbivore Botanicals,Naturales premium,Herbivore tiene mucho mayor alcance y engagement.,Instagram,MH debe revisar su estrategia de contenido premium en IG.
Mad Hippie,Aesop,Branding natural + científico,Aesop domina en todas las plataformas.,Todas,Reajustar el posicionamiento aspiracional para competir.
Black Girl Sunscreen,Supergoop!,Protección solar moderna,Supergoop tiene mayor alcance en IG.,Instagram,BGS debe diferenciar claramente su propuesta de valor.
Black Girl Sunscreen,Sun Bum,SPF lifestyle joven,Sun Bum es más fuerte en TikTok.,TikTok,BGS necesita aumentar su presencia y actividad en TikTok.
Black Girl Sunscreen,Bare Republic,SPF clean accesible,Escala similar.,Ninguna,Encontrar un nicho de diferenciación en producto o mensaje.
ArtNaturals,The Ordinary,Ingredientes activos,The Ordinary tiene escala y engagement muy superior.,Instagram,ArtNaturals debe centrarse en un nicho de activos específico.
ArtNaturals,Derma E,Skincare natural,"Escala similar, ambos con bajo engagement.",Ninguna,Enfocarse en la construcción de comunidad activa.
ArtNaturals,Cocokind,Clean beauty accesible,Cocokind tiene mejor engagement.,TikTok,Estudiar el formato y contenido viral de Cocokind.
Moérie Beauty,Vegamour,Hair growth + wellness,"Vegamour domina en IG y TikTok, con alto engagement.",Instagram / TikTok,Explorar contenido educativo y de resultados verificables.
Moérie Beauty,Nutrafol,Suplementos premium,Nutrafol es más fuerte en YouTube y contenido educativo.,YouTube,Invertir en contenido de larga duración y valor añadido.
Moérie Beauty,Function of Beauty,Personalización capilar,Function of Beauty es fuerte en TikTok.,TikTok,Reducir la dependencia de viralidad puntual.
Naisture,COSRX,K-beauty accesible,COSRX es mucho mayor en todas las plataformas.,Todas,Enfocarse en productos nicho o de alta especialización.
Naisture,Laneige,Skincare coreano premium,Laneige domina en IG y TikTok.,Instagram / TikTok,Buscar diferenciación por precio o tipo de piel específica.
Naisture,Innisfree,Beauty natural coreano,Escala superior y mejor engagement.,Todas,Necesidad de reposicionamiento de marca o producto.
Modelones,Beetles Gel Polish,Nail products DIY,Beetles es más fuerte en TikTok.,TikTok,Modelones debe equilibrar el contenido DIY entre plataformas.
Modelones,Makartt,Competencia directa uñas,"Similares en seguidores, engagement variable.",Ninguna,Determinar qué tipo de contenido genera más interacción.
Modelones,Gelish,Marca profesional nails,Gelish es más tradicional y tiene menor presencia en TikTok.,Tradicional,Oportunidad de atraer al público joven de Gelish en TikTok.
MakarttPro,Kiara Sky,Nail pro segment,Kiara Sky tiene un branding más fuerte en IG.,Instagram,Reforzar el branding y la estética profesional en IG.
MakarttPro,Beetles Gel Polish,Nail DIY,Beetles domina TikTok.,TikTok,MakarttPro debe segmentar claramente sus mensajes PRO vs DIY.
MakarttPro,Modelones,Competencia directa,Escala y estrategia similares.,Ninguna,Buscar una voz o estilo único para diferenciarse.
SONGMICS HOME,Honey-Can-Do,Home organization,"Escala similar, bajo engagement general.",Ninguna,Necesidad de contenido UGC más inspirador.
SONGMICS HOME,SimpleHouseware,Productos similares Amazon,TikTok bajo en ambos.,Ninguna,Explorar el potencial de *creators* de organización en TikTok.
SONGMICS HOME,VASAGLE,Misma empresa/segmento,Estrategia compartida.,Ninguna,Asegurar que la segmentación de audiencia sea clara entre marcas.
YouCopia,OXO,Kitchen organization premium,OXO es mucho mayor y fuerte en YouTube.,YouTube,YouCopia debe invertir en contenido de tutoriales de cocina.
YouCopia,iDesign,Home organization,"Escala similar, bajo engagement.",Ninguna,Concentrarse en mostrar soluciones prácticas y cotidianas.
YouCopia,mDesign,Storage solutions,Competencia directa Amazon.,Amazon,Encontrar diferenciación de marca más allá de la plataforma de venta.
Everything Kitchens,Sur La Table,Kitchen premium retail,Sur La Table es más fuerte en IG y YouTube.,IG / YouTube,EK necesita elevar la calidad de su contenido visual.
Everything Kitchens,Williams Sonoma,Alta gama cocina,Dominio total en todas las redes.,Todas,Concentrarse en nichos específicos donde WS no domine (ej. equipos).
Everything Kitchens,WebstaurantStore,Equipamiento cocina,WebstaurantStore es fuerte en YouTube (B2B).,YouTube,EK debe definir si su enfoque es B2C o B2B en YouTube.
The Lakeside Collection,Wayfair,Home retail,Wayfair domina en escala.,Todas,Enfocarse en productos únicos o de nicho que Wayfair no cubra.
The Lakeside Collection,Home Depot,Home goods generalista,Mayor presencia omnicanal.,Tradicional,Usar las redes para impulsar ofertas específicas de catálogo.
The Lakeside Collection,Collections Etc,Catálogo similar,"Escala similar, bajo engagement.",Ninguna,Trabajar en la reactivación de las audiencias existentes.
Spreetail,Thrasio,Amazon aggregator,Thrasio tiene mayor escala.,Ninguna,Spreetail debe mostrar su valor a los vendedores y marcas.
Spreetail,Perch,E-commerce aggregator,"Similar modelo, menor visibilidad.",Ninguna,Aumentar la visibilidad de su portafolio de marcas.
Spreetail,Heyday,Brand aggregator,Más enfoque DTC.,Ninguna,Aprender del enfoque de *Direct-to-Consumer* para construir marca.
Mav Beauty Brands,e.l.f. Cosmetics,Beauty accesible,e.l.f. domina TikTok.,TikTok,Necesidad urgente de una estrategia de contenido viral en TikTok.
Mav Beauty Brands,Revlon,Beauty tradicional,Mayor presencia global.,Tradicional,Usar el posicionamiento moderno para atraer Gen Z/Millennials.
Mav Beauty Brands,NYX Cosmetics,Makeup digital-first,NYX es fuerte en TikTok.,TikTok,Crear campañas enfocadas en tendencias de maquillaje de TikTok.
Enchanté Accessories,Claire’s,Accesorios fashion,Claire's domina en Gen Z.,TikTok,Enchanté debe construir una identidad fuerte y relevante para Gen Z.
Enchanté Accessories,Shein Accessories,Fast fashion,Shein domina TikTok.,TikTok,Competir en calidad/diseño sobre volumen/precio.
Enchanté Accessories,Urban Outfitters Acc.,Lifestyle accessories,Mayor branding y engagement.,Instagram,Elevar la calidad del branding y la fotografía de lifestyle.
The Whall Group Information,Deloitte,Firma líder global,Big 4 domina confianza y clientes enterprise,Tradicional,Posicionar contenido en LinkedIn + líderes de opinión para competir en autoridad digital.
The Whall Group Information,PwC,Presencia global consolidada,Alcance corporativo masivo,Tradicional,Crear contenido educativo con expertos para ganar visibilidad.
The Whall Group Information,KPMG Deutschland,Consultoría internacional,Fuerte posicionamiento B2B,Tradicional,Activar thought leaders en mercados nicho (LATAM/US).
Blue Sky®,Erin Condren Design,Líder en papelería premium lifestyle,Alta conexión emocional con audiencia femenina,Instagram,Desarrollar comunidad con creators de journaling y organización diaria.
Blue Sky®,Rifle Paper Co.,Marca icónica en diseño ilustrativo,Fuerte identidad visual y engagement,Instagram,Elevar narrativa visual con contenido aspiracional.
Blue Sky®,Paper Source,Retail creativo consolidado,Presencia omnicanal fuerte,Instagram,Usar influencers para digitalizar experiencia offline.
Brickell Brands LLC,Kiehl’s,Skincare masculino premium,Respaldo de marca global (L’Oréal),Instagram,Competir con autenticidad vía creadores masculinos reales.
Brickell Brands LLC,Oars + Alps,Marca digital-first masculina,Mejor posicionamiento moderno,Instagram,Escalar contenido educativo simple y funcional.
Brickell Brands LLC,Every Man Jack,Masivo natural accesible,Distribución + awareness alto,TikTok,Aprovechar TikTok para construir comunidad más joven.
Caldera + Lab,Brickell Men’s Products,Alternativa natural directa,Mejor engagement en digital,Instagram,Crear narrativa comparativa con creators especializados.
