Día,Actividad / Hito de Configuración,Responsable 
Día 1,5 dominios comprados + 15 cuentas de email creadas + SPF/DKIM/DMARC configurados,GABRIEL 
,Google Postmaster + MxToolbox + Mail-Tester monitoreo activo,GABRIEL 
Día 2,"2–3 cuentas de alcance de LinkedIn creadas, calentamiento iniciado ",DAYANA 
,"Cuenta del alcance de Instagram creada, primera publicación hecha ",DAYANA 
,"HubSpot CRM configurado: pipelines, propiedades, etapas de ciclo de vida +1",DANIEL 
,Workspace de Slack + canales + alertas Relay.app configurados,DAYANA 
,Documentos ICP (B2B + Creadores) finalizados con input del equipo +1,EUGENIA
Día 3,Clay adquirido + construcción de tabla en cascada iniciada +1,GABRIEL 
,SmartScout + Apify adquiridos + configurados +2,GABRIEL 
Día 4,Smartlead adquirido + 15 cuentas conectadas + calentamiento activo,
,Expandi adquirido + cuentas LinkedIn conectadas + límites + IP residencial establecidos,DAYANA 
,JustCall adquirido + lista de prospectos importada + ventana de llamada configurada,GABRIEL 
,Conexiones push Clay → Smartlead + Clay → Expandi activas +1,DANIEL 
,Agente de voz IA evaluado + adquirido si el presupuesto lo permite,DANIEL 
Día 5,ManyChat Pro adquirido + WhatsApp Business API conectada + plantillas enviadas +2,DAYANA 
,Branch.io configurado + plantillas de deep link creadas +1,
,Twilio adquirido + números comprados + A2P registrado,
Día 6,Sendspark adquirido + variables dinámicas configuradas +2,DAYANA 
,ElevenLabs adquirido + audio subido + entrenamiento de clon de voz iniciado,DAYANA 
,Klaviyo/SimpleTexting configurado para recuperación SMS de abandono Elevn,
,Conexión API ElevenLabs → ManyChat configurada,GABRIEL 
Día 7,Slybroadcast adquirido + guión de buzón de voz subido,
,Social Blade + Outgrow adquiridos,EUGENIA
,"Cascada de Clay completa: 1,000 prospectos enriquecidos + calificados +1",GABRIEL 
Día 8,Flujos de WhatsApp + Instagram de ManyChat completos + probados,DAYANA 
,Servidor Discord de Creadores + Comunidades WhatsApp creados,EUGENIA
Día 9,Pipeline B2B end-to-end probado exitosamente,GABRIEL 
,Pipeline de Creadores end-to-end probado exitosamente,
,Todas las integraciones de HubSpot verificadas +1,DANIEL 
,Alertas de Slack / Telegram verificadas,DAYANA 
,Arquitectura documentada + Loom grabado + entregado a Contenido+Campañas,DAYANA 
Día 13,Plantilla de micrositio B2B activa en Unbounce,DAYANA 
,Plantilla de micrositio de Creadores activa en Leadpages,EUGENIA
,Herramienta de auditoría de video B2B activa en Outgrow,DAYANA 
,Calculadora de ingresos de Creadores activa en Outgrow,EUGENIA
Día 14,Google Alerts + Visualping configurados,DANIEL 
,Integración de Routable iniciada +1,DANIEL 
Día 17+,Monitoreo diario de reputación de dominios activo,GABRIEL 
,Monitoreo diario de salud de cuentas LinkedIn/Instagram activo,DAYANA 
Día 28,Evaluación de escalamiento completada para Mes 2,DANIEL 
